customer_id,country,province,city,gender,marital_status,occupation_code,income,birth_date,onboard_date
fake_data_0,fake_data_0,fake_data_0,fake_data_0,fake_data_0,fake_data_0,fake_data_0,823,fake_data_0,fake_data_0
fake_data_1,fake_data_1,fake_data_1,fake_data_1,fake_data_1,fake_data_1,fake_data_1,566,fake_data_1,fake_data_1
fake_data_2,fake_data_2,fake_data_2,fake_data_2,fake_data_2,fake_data_2,fake_data_2,284,fake_data_2,fake_data_2
fake_data_3,fake_data_3,fake_data_3,fake_data_3,fake_data_3,fake_data_3,fake_data_3,696,fake_data_3,fake_data_3
fake_data_4,fake_data_4,fake_data_4,fake_data_4,fake_data_4,fake_data_4,fake_data_4,75,fake_data_4,fake_data_4
fake_data_5,fake_data_5,fake_data_5,fake_data_5,fake_data_5,fake_data_5,fake_data_5,500,fake_data_5,fake_data_5
fake_data_6,fake_data_6,fake_data_6,fake_data_6,fake_data_6,fake_data_6,fake_data_6,511,fake_data_6,fake_data_6
fake_data_7,fake_data_7,fake_data_7,fake_data_7,fake_data_7,fake_data_7,fake_data_7,706,fake_data_7,fake_data_7
fake_data_8,fake_data_8,fake_data_8,fake_data_8,fake_data_8,fake_data_8,fake_data_8,903,fake_data_8,fake_data_8
fake_data_9,fake_data_9,fake_data_9,fake_data_9,fake_data_9,fake_data_9,fake_data_9,879,fake_data_9,fake_data_9
fake_data_10,fake_data_10,fake_data_10,fake_data_10,fake_data_10,fake_data_10,fake_data_10,780,fake_data_10,fake_data_10
fake_data_11,fake_data_11,fake_data_11,fake_data_11,fake_data_11,fake_data_11,fake_data_11,241,fake_data_11,fake_data_11
fake_data_12,fake_data_12,fake_data_12,fake_data_12,fake_data_12,fake_data_12,fake_data_12,854,fake_data_12,fake_data_12
fake_data_13,fake_data_13,fake_data_13,fake_data_13,fake_data_13,fake_data_13,fake_data_13,512,fake_data_13,fake_data_13
fake_data_14,fake_data_14,fake_data_14,fake_data_14,fake_data_14,fake_data_14,fake_data_14,119,fake_data_14,fake_data_14
fake_data_15,fake_data_15,fake_data_15,fake_data_15,fake_data_15,fake_data_15,fake_data_15,135,fake_data_15,fake_data_15
fake_data_16,fake_data_16,fake_data_16,fake_data_16,fake_data_16,fake_data_16,fake_data_16,623,fake_data_16,fake_data_16
fake_data_17,fake_data_17,fake_data_17,fake_data_17,fake_data_17,fake_data_17,fake_data_17,189,fake_data_17,fake_data_17
